评价时间,门店名称,商品名,商品评分,评价内容,追评内容,商家回复,折叠评价,评价审核状态
2026-07-02,煌上煌酱鸭（直属新建2店）,[进店必买]手撕酱鸭[酱辣] 约250克 酱辣,5.0,肉汁鲜美味道相当好，非常满意，下次还会回购,,,正常,未举报
2026-07-02,煌上煌酱鸭（直属新建2店）,竹香酱鸭1只 一只,5.0,肉质口感外酥里嫩，肉质鲜美，非常好吃下次还会购买。,,,正常,未举报
2026-07-03,煌上煌酱鸭(龙华共和花园专卖店),香卤鸭锁骨鸭架(麻辣) 大份约280克,3.0,此用户未填写评价内容,,,正常,未举报
2026-07-03,煌上煌酱鸭（怡兰苑店）,煌家酱鸭1只（约350g版） 1只,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-04,煌上煌酱鸭(龙华观澜章阁店),香卤鱼豆腐（微辣） 小份约160克,1.0,麻辣鸭脖很咸、鱼豆腐根本就不是方块的鱼豆腐，货不对板，除了咸，没啥味道，总体来，说不好吃，鸭脖也很干，包装不错,,,正常,未举报
2026-07-04,煌上煌酱鸭（直属象湖新力金沙湾店）,[个大肉多]麻辣鸭翅中 约160克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-04,煌上煌酱鸭(东莞桥头),煌上煌手撕酱鸭100g 酱辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-05,煌上煌酱鸭(江门开平水口升宝专卖店),释放“鸭力”三荤三素套餐 一人份,1.0,食物都是馊的，找商家联系都不搭理，吃了点半夜起床拉肚子,,,正常,未举报
2026-07-05,煌上煌酱鸭(惠州51新天地专卖店),【非遗】招牌特色酱辣手撕酱鸭150g+随心素拼200g,1.0,不好吃都没什么味道一点很恶心已经丢了,,,正常,待审核
2026-07-05,煌上煌酱鸭(中山火炬沃尔玛专卖店),香卤毛豆（微辣） 小份约160克,1.0,太贵了，不值这个价格。分量太少！一盘鸡爪平均就是5块钱一个，总共四个半。就是毛豆不太好，有好几个空壳的，还有些不饱满，只有一颗豆,,,正常,未举报
2026-07-05,煌上煌酱鸭(东莞望牛墩嘉荣广场专卖店),香卤鸭肠（香辣） 大份约140克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-05,煌上煌酱鸭(东莞望牛墩嘉荣广场专卖店),招牌卤鸭掌(不辣) 大份约210克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-05,煌上煌酱鸭(东莞望牛墩嘉荣广场专卖店),招牌卤鸭掌(不辣) 大份约210克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-05,煌上煌酱鸭(东莞望牛墩嘉荣广场专卖店),招牌卤鸭掌(不辣) 大份约210克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-05,煌上煌酱鸭(惠州51新天地专卖店),释放“鸭力”三荤三素套餐 一人份,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-06,煌上煌酱鸭（直属新村店）,煌上煌手撕酱鸭100g 酱辣,1.0,这有一百克吗？没有达到你们商品的本身重量,,,正常,待审核
2026-07-06,煌上煌酱鸭(宜春万载),【单人餐】招牌香辣鸭脖230g+香辣鸭翅中200g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-08,煌上煌酱鸭(龙华共和花园专卖店),煌上煌招牌鸭鸭翅中4个 4个麻辣鸭翅中,1.0,这么少的量，试吃吗！,,,正常,未举报
2026-07-08,煌上煌酱鸭（龙岗布吉桂芬园专卖店）,煌上煌手撕酱鸭100g 酱香,1.0,难吃味道怪怪的，塑料味好重,,,正常,未举报
2026-07-08,煌上煌酱鸭(韶关南雄青云路专卖店),香卤藕片（微辣） 小份约160克,2.0,除了藕还行其他的，感觉都不新鲜了 ，像放了很久的样子,,,正常,未举报
2026-07-08,煌上煌酱鸭.鸭货(宽城万达2店),【限时上新】卤鸭锁骨300g 麻辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-09,煌上煌酱鸭(赣州赣县梅林古镇店),[嘎嘎好吃]香卤牛肉 约130克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-10,煌上煌酱鸭（直属抚生路店）,[啃到爽]麻辣鸭脖 约160克,1.0,鸭脖应该放很久了 好硬 跟牛肉干似的,,,正常,未举报
2026-07-10,煌上煌酱鸭(宁德屏南总店),【好友聚会套餐】9选4—两荤两素 香卤锁骨3个+香卤鸭掌130g 香卤毛豆150g+香卤豆皮150g 微辣,1.0,昨晚吃完早上醒来嘴角长了疱疹，里面不干净，应该是放太久了,,,正常,待审核
2026-07-10,煌上煌酱鸭（广州人和地铁专卖店）,香卤猪脚（半只） 一份,3.0,此用户未填写评价内容,,,正常,未举报
2026-07-10,煌上煌酱鸭（佛山大沥步行街专卖店）,酱香鸭脖（香辣） 280克,4.0,此用户未填写评价内容,,,正常,未举报
2026-07-10,煌上煌酱鸭（观澜天虹格兰郡店）,释放“鸭力”三荤三素套餐 一人份,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-10,煌上煌酱鸭(赣州信丰),香辣海带结 约180克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-11,煌上煌酱鸭（东莞企石润升百货专卖店）,【单人套餐】手撕酱鸭炒饭+荤菜任选 单人套餐 手撕酱鸭炒饭 鸡翅尖10个,4.0,此用户未填写评价内容,,,正常,未举报
2026-07-11,煌上煌酱鸭(宁德霞浦百花新村店专柜),【限时上新】香卤鸭脖300g 不辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-11,煌上煌酱鸭（清远英德食娱广场专卖店）,【单人套餐】手撕酱鸭炒饭+荤菜任选 单人套餐 手撕酱鸭炒饭 4个鸭翅中,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-11,煌上煌酱鸭（清远英德食娱广场专卖店）,招牌卤鸭掌(不辣) 大份约210克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-13,煌上煌酱鸭（清远英德食娱广场专卖店）,网红柠檬无骨凤爪(酸辣) 大份约220克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-14,煌上煌酱鸭(福州南站专卖店),招牌卤鸭脖【香气饱满、绵糯嫩滑】 小份（200g） 不辣,1.0,明明点不辣的！！！还是送辣的！！！垃圾,,,正常,未举报
2026-07-14,煌上煌酱鸭(惠东大岭专卖店),香卤鸭肠（香辣） 大份约140克,4.0,此用户未填写评价内容,,,正常,未举报
2026-07-15,煌上煌酱鸭(新建凌波农贸市场店),煌上煌招牌鸭鸭翅中4个 4个麻辣鸭翅中,1.0,菜品的量可以能吃，但是不知道为什么，感觉有很浓的鸭味和突然间一股发霉，或者说脏了的东西的感觉，然后又还吃了正常，因为卤味覆盖了，所以说反正我也后面没吃了，觉得很奇怪，这个煌上煌不够完全干净，或者说过程有一些问题,,,正常,未举报
2026-07-15,煌上煌酱鸭(上饶信州区解放路店),煌上煌手撕酱鸭100g 酱辣,3.0,"感觉特别油，味道又好像是正品又好像不是的。
点了两份还都带半拉鸭头，鸭腿没见着",,,正常,未举报
2026-07-15,煌上煌酱鸭(龙华福城桔坑专卖店),网红柠檬无骨凤爪(酸辣) 大份约220克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-16,煌上煌酱鸭(上饶信州区解放路店),香辣蟹钳 约250克,1.0,一点也不好吃 不辣咸的要死,,,正常,未举报
2026-07-16,煌上煌酱鸭(宁德万和城店),特惠冲单丨手撕酱鸭炒饭+腐竹+豆皮 手撕酱鸭炒饭+腐竹+豆皮,1.0,包装是挺好看的，但是是真的难吃纯预制饭放微波炉加热的那种好难吃比我之前坐牢的时候吃的自热米饭还难吃。没吃过牢饭的可以试试,,,正常,待审核
2026-07-16,煌上煌酱鸭(东莞大岭山百盛佳专卖店),香卤鸭翅中(不辣) 大份约300克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-16,煌上煌酱鸭（直属上海长宁中山公园龙之梦店）,手撕酱鸭【酱辣】 130g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-16,煌上煌酱鸭（直属上海长宁中山公园龙之梦店）,手撕酱鸭【酱辣】 130g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-16,煌上煌酱鸭(景德镇新德园旗舰店),煌家酱鸭1只（约350g版） 1只,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-17,煌上煌酱鸭(宁德万和城店),藤椒手撕鸡【新品上市、店长推荐】 约250克（大份）,1.0,餐具舍不得放吗，什么毛病,,,正常,待审核
2026-07-18,煌上煌酱鸭(吉安遂川泉江东路大道店),煌家酱鸭1只（约350g版） 1只,1.0,真特么难吃 全扔了。大家别买。,,,正常,未举报
2026-07-18,煌上煌酱鸭(宜春万载),煌上煌手撕酱鸭100g 酱辣,1.0,味道怪怪的，全是边角料,,,正常,未举报
2026-07-18,煌上煌酱鸭(直属河南郑州农科路店),煌上煌手撕酱鸭100g 酱辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-18,煌上煌酱鸭（国防科技园农贸市场店）,香卤鸡翅尖 约150克,5.0,"#酱香牛肉串 约130克#​
#香卤鸡翅尖 约150克#​
#香卤腐竹 约180克#​虽然经常吃煌上煌，但是还是得说，卤菜就喜欢吃煌上煌。一直都很好吃！",,,正常,未举报
2026-07-19,煌上煌酱鸭(东莞大朗巷头店),鸭脖80G 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-19,煌上煌酱鸭(东莞大朗巷头店),鸭脖80G 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-19,煌上煌酱鸭(东莞大朗巷头店),香辣海带结100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-19,煌上煌酱鸭（旭辉华润店）,酱板鸭（麻辣）1只 1只,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-20,煌上煌酱鸭(珠海夏湾店),凉拌豆脯干（微辣） 小份约160克,1.0,豆脯干没货换面筋，面筋变质臭的！,,,正常,未举报
2026-07-20,煌上煌酱鸭(澄迈洪都购物广场专卖店),香卤鸭翅中（香辣） 大份约300克,5.0,好吃，按时到达,,,正常,未举报
2026-07-20,煌上煌酱鸭（江铃臻园店）,煌上煌香辣毛豆100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-20,煌上煌酱鸭（江铃臻园店）,煌上煌鸭脖80G 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-20,煌上煌酱鸭（江铃臻园店）,煌上煌鸭锁骨1个 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-21,煌上煌酱鸭(九江共青城甘露),煌上煌手撕酱鸭100g 酱辣,1.0,好坑，不要点这个，15块吃个寂寞,,,正常,未举报
2026-07-21,煌上煌酱鸭(东莞茶山茶兴路专卖店),香卤鸭翅中(不辣) 大份约300克,4.0,此用户未填写评价内容,,,正常,未举报
2026-07-21,煌上煌酱鸭(直属赣州公务员小区店),煌上煌手撕酱鸭100g 酱香,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-22,煌上煌酱鸭(珠海香洲总站店),香卤毛豆（微辣） 大份约360克,1.0,豆筋不新鲜，都黑了，毛豆有股怪味烟熏的味道，跟之味道前差远了,,,正常,未举报
2026-07-22,煌上煌酱鸭（南山区工业七路店）,香卤鸭头（香辣） 一个 切开,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-22,煌上煌酱鸭(上饶信州区解放路店),【限时上新】香卤鸭脖300g 麻辣,5.0,超级好吃微辣也好好吃,,,正常,未举报
2026-07-22,煌上煌酱鸭（广州人和地铁专卖店）,释放“鸭力”三荤三素套餐 一人份,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-22,煌上煌酱鸭(宝安新桥万科星城专卖店),【非遗】招牌特色手撕酱鸭150g+随心素拼200g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-22,煌上煌酱鸭(建设路专卖店),释放“鸭力”三荤三素套餐 一人份,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-22,煌上煌酱鸭(惠东大岭专卖店),香辣海带结 中份约260克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-22,煌上煌酱鸭（直属上海长宁中山公园龙之梦店）,手撕酱鸭【酱辣】 130g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-22,煌上煌酱鸭(龙华观澜章阁店),香卤凤爪（不辣） 大份200克 不辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-23,煌上煌酱鸭(惠州港惠路口专卖店),释放“鸭力”三荤三素套餐 一人份,4.0,此用户未填写评价内容,,,正常,未举报
2026-07-23,煌上煌酱鸭(赣州南康佳兴店),[进店必买]手撕酱鸭[酱香(甜)] 约130克,4.0,"#[进店必买]手撕酱鸭[酱香(甜)] 约130克#​
#[个大肉多]甜椒鸭翅中 约160克#​味道和小时候差不多，但更硬了，嚼的我腮帮子疼",,,正常,未举报
2026-07-23,煌上煌热卤(地铁万科店),鸭翅鸭脖+毛豆休闲套餐 香辣2个装 香辣2根 125g,4.0,此用户未填写评价内容,,,正常,未举报
2026-07-23,煌上煌酱鸭(惠州港惠路口专卖店),释放“鸭力”三荤三素套餐 一人份,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-24,煌上煌酱鸭(九江共青城甘露),煌上煌鸭脖80G 常温,4.0,此用户未填写评价内容,,,正常,未举报
2026-07-24,煌上煌酱鸭(惠州博罗天虹专卖店),香卤藕片（微辣） 小份约160克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-24,煌上煌酱鸭(惠东大岭专卖店),鸭脖80G 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-24,煌上煌酱鸭(龙华福城桔坑专卖店),煌上煌香卤鸭脖100g 微辣,5.0,好吃好吃😋,,,正常,未举报
2026-07-24,煌上煌酱鸭(赣州厚德路店),香辣龙虾尾 约180克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-24,煌上煌酱鸭(赣州厚德路店),香辣龙虾尾 约250克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-24,煌上煌酱鸭（新城吾悦广场店）,Q弹脆皮肠 约450克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-25,煌上煌酱鸭（直属羊子巷店）,酱板鸭（麻辣）1只 1只,1.0,一点也不好吃，没有总社那家店的好吃，而且这个太多水分了一点都不干香，我都怀疑他是不是麻辣的酱板鸭，而是其他的鸭,,,正常,未举报
2026-07-25,煌上煌酱鸭(东莞食客店),酱香鸭脖（香辣） 200克,1.0,味道不好，太柴不好吃,,,正常,未举报
2026-07-25,煌上煌酱鸭（红谷十二庭店）,酱板鸭（麻辣）1只 1只,1.0,备注切开，太马虎了，动都没动,,,正常,未举报
2026-07-25,煌上煌酱鸭（金域华府店）,香辣带鱼 约250克,3.0,难吃的带鱼,,,正常,未举报
2026-07-25,煌上煌酱鸭(赣州兴国),鸭锁骨1个 常温,5.0,藕片发酸，鸭架干硬还柴，跟以前在店里吃的跟不一样，差到极致👎,,,正常,未举报
2026-07-25,煌上煌酱鸭（宝安西乡步行街南门专卖店）,【限时上新】卤鸭锁骨300g 甜辣,5.0,甜辣太甜了，早知道选麻辣了,,,正常,未举报
2026-07-25,煌上煌酱鸭（清远英德食娱广场专卖店）,招牌卤鸭掌(不辣) 大份约210克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-26,煌上煌酱鸭（佛山桂城凤凰荟店）,煌家酱鸭（香辣） 一整只 不切开（整只包装）,1.0,没买过这么难吃的酱鸭，油垢味浓,,,正常,未举报
2026-07-26,煌上煌酱鸭（佛山大沥步行街专卖店）,香卤鸭头（香辣） 一个 切开,1.0,666这么小一个鸭头敢卖你9.9，直接去抢好了，用小小一个盒子装子的塞牙都不够，避雷,,,正常,未举报
2026-07-26,煌上煌酱鸭(厦门思明上李店),煌上煌手撕酱鸭100g 酱香,5.0,#煌上煌手撕酱鸭100g 酱香#​这真无敌了，香得很，和我在南昌吃一个味,,,正常,未举报
2026-07-26,煌上煌酱鸭（罗湖区笋岗店）,香卤鱼豆腐（微辣） 小份约160克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-26,煌上煌酱鸭（直属洪都邮政店）,[脆爽鲜香]耳丝 约180克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-27,煌上煌酱鸭(东莞长安上沙中南路专卖店),香辣海带结 小份约160克,3.0,#香辣海带结 小份约160克#​酱板鸭我要的酱香，给我酱辣的，辣死了，而且没什么肉，全是骨头，买了这么多次，后面两次太差劲了，生气,,,正常,未举报
2026-07-27,煌上煌酱鸭（佛山桂城凤凰荟店）,煌上煌手撕酱鸭100g 酱香,3.0,很油腻 味道也一般,,,正常,未举报
2026-07-27,煌上煌酱鸭(新余火车站),煌家酱鸭1只（约350g版） 1只,4.0,扔地上 不打电话不敲门。,,,正常,未举报
2026-07-27,煌上煌酱鸭(福州闽侯青口博雅店),酱卤鸡爪【入味鲜香】 中份(200克) 微辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-27,煌上煌酱鸭(上饶信州区解放路店),[嘎嘎好吃]香卤牛肉 约250克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-28,煌上煌酱鸭(吉安城南市场店),煌上煌手撕酱鸭100g 酱辣,1.0,两三块肉 其它都是皮跟骨头 6,,,正常,未举报
2026-07-28,煌上煌酱鸭（大沈桥店）,麻辣小鸭掌 约250g,5.0,#麻辣小鸭掌 约250g#这种小的我非常喜欢吃，更有嚼劲，配点饮料相当哇塞,,收到您的五星好评，比吃到美食还开心！您的喜爱是我们最大的动力，我们会继续用心做好每一份餐品，期待与您再次相遇！,正常,未举报
2026-07-28,煌上煌酱鸭（直属新村店）,[鲜嫩多汁]麻辣鸭锁骨 约150克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-28,煌上煌酱鸭(龙岗坂田五和南路专卖店),鸭锁骨1个 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-28,煌上煌酱鸭（直属洪都邮政店）,[脆爽鲜香]耳丝 约180克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-28,煌上煌酱鸭(东莞虎门赤岗专卖店),煌上煌手撕酱鸭100g 酱香,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-29,煌上煌酱鸭（宝安金安路专卖店）,煌上煌手撕酱鸭100g 酱辣,5.0,#煌上煌手撕酱鸭100g 酱辣#收到后检查完整，外观和做工都不错，实际使用方便顺手，功能符合预期，细节处理认真，整体体验令人满意。 包装完整，做工细致，使用方便，细节处理到位，整体体验很好，日常使用很顺手，物流也很及时，值得推荐。,,,正常,未举报
2026-07-29,煌上煌酱鸭(龙华观澜章阁店),煌家酱鸭（不辣） 一整只 切开（盒装）,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-29,煌上煌酱鸭（直属洪都邮政店）,[脆爽鲜香]耳丝 约180克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-30,煌上煌酱鸭(珠海横琴宝中路专卖店),【限时上新】卤鸭锁骨300g 甜辣,2.0,鸭锁骨不正宗，完全没煌上煌的味儿,,,正常,未举报
2026-07-30,煌上煌酱鸭(广州天河车陂地铁专卖店),煌上煌鸭脖80G 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-30,煌上煌酱鸭(广州天河车陂地铁专卖店),煌上煌香辣毛豆100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-30,煌上煌酱鸭(广州天河车陂地铁专卖店),煌上煌鸭锁骨1个 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-30,煌上煌酱鸭(吉安青原国光店),柠檬无骨凤爪 约250克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-30,煌上煌酱鸭（直属象湖新力金沙湾店）,梅菜扣肉1盒 1盒,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-31,煌上煌酱鸭(宁德霞浦百花新村店专柜),酱卤鸭板肠（4条） 4条,5.0,"#素菜随心拼（随机） 素菜180g#​
#酱卤鸭板肠（4条） 4条#​鸭板肠脆爽好吃，素菜卤得很入味，整体口味适中，包装完好，性价比拉满，爱吃卤味的可以放心冲！",,,正常,未举报
2026-07-31,煌上煌酱鸭(宁德霞浦百花新村店专柜),煌上煌手撕酱鸭100g 酱香,5.0,#煌上煌手撕酱鸭100g 酱香#很好吃 经常买来解馋,,,正常,未举报
2026-07-31,煌上煌酱鸭(惠东大岭专卖店),香卤鸭翅中（麻辣） 大份约300克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-31,煌上煌酱鸭(惠东大岭专卖店),香卤鸭脖(麻辣) 大份约280克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-31,煌上煌酱鸭(惠东大岭专卖店),【单人套餐】手撕酱鸭炒饭+荤菜任选 单人套餐 手撕酱鸭炒饭 香卤鸭脖90g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-31,煌上煌酱鸭（直属上海路）,麻辣小鸭掌 约250g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-31,煌上煌酱鸭（直属上海路）,麻辣小鸭掌 约250g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-31,煌上煌酱鸭(丰城五千套店),[进店必买]手撕酱鸭[酱辣] 约130克 酱辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-01,煌上煌酱鸭(澄迈洪都购物广场专卖店),香卤鸡翅尖100g 常温,1.0,好少 没有绝味鸭脖多,,,正常,未举报
2026-08-02,煌上煌酱鸭（南山区新华园专卖店）,半只煌家酱鸭（切块） 香辣,1.0,不好吃，光辣无味，分量太少,,,正常,未举报
2026-08-02,煌上煌酱鸭(九龙国体明园中心店),煌上煌手撕酱鸭100g 酱香,1.0,全是皮我的妈呀，这也不能全是皮吧,,,正常,未举报
2026-08-02,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌香辣藕片100g 常温,5.0,#京东煌上煌香辣藕片100g 常温#​新鲜度在线，口感劲道，分量扎实，性价比远超别家，全家都爱吃，无限回购款。,,,正常,未举报
2026-08-02,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌鸭锁骨1个 常温,5.0,#京东煌上煌鸭锁骨1个 常温#​卤香味浓郁，肉质软烂入味，咸淡适中，真空包装干净卫生，追剧下饭都合适，五星推荐。,,,正常,未举报
2026-08-02,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌鸭脖80G 常温,5.0,#京东煌上煌鸭脖80G 常温#​这家店真的超出预期，食材新鲜看得见，制作干净卫生，口味把控得很好，分量给得特别实在。配送小哥准时送达，包装密封性很好，拿到手还是温热的。不管是单人餐还是家庭分享都很合适，已经列入常吃清单，推荐大家尝试。,,,正常,未举报
2026-08-02,煌上煌酱鸭（直属洪都邮政店）,[脆爽鲜香]耳丝 约180克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-02,煌上煌酱鸭(海口龙湖光年专卖店),香卤鸭锁骨鸭架(麻辣) 大份约280克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-02,煌上煌酱鸭(东莞祥新中路专卖店),煌家酱鸭（香辣） 一整只 切开（装盒子）,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-03,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌鸭脖80G 常温,5.0,#京东煌上煌鸭脖80G 常温#​一直很信赖煌上煌这个老字号，几十年的卤味果然名不虚传。选用天然香辛料慢卤而成，香味醇厚不齁咸，荤菜素菜品类齐全。店家打包仔细，密封完好，拿到手还是干爽的，出餐速度快，服务贴心。不管是日常解馋、夜宵下酒，还是当做特产送礼都很合适，已经收藏店铺，会一直回购！,,,正常,未举报
2026-08-03,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌鸭锁骨1个 常温,5.0,#京东煌上煌鸭锁骨1个 常温#​啃起来特别过瘾，卤味完全渗进骨头里，辣度适中，新鲜现卤，分量实在，每次必点。,,,正常,未举报
2026-08-03,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌香辣藕片100g 常温,5.0,煌上煌经典味道，肉质软烂不柴，包装严实没有撒漏，配送超快,,,正常,未举报
2026-08-04,煌上煌酱鸭(南宁淡村农贸市场店),JD煌上煌香辣毛豆100g 常温,2.0,个人口感辣味很淡，份量足,,,正常,未举报
2026-08-04,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌鸭锁骨1个 常温,5.0,#京东煌上煌鸭锁骨1个 常温#这鸭锁骨特别好吃，软糯，那都适中，不愧是一个老品牌,,,正常,未举报
2026-08-04,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌鸭脖80G 常温,5.0,#京东煌上煌鸭脖80G 常温#五星好评,,,正常,未举报
2026-08-04,煌上煌酱鸭(西安鄠邑草堂二店),京东煌上煌香辣藕片100g 常温,5.0,#京东煌上煌香辣藕片100g 常温#好吃，下次还来,,,正常,未举报
2026-08-04,煌上煌酱鸭(惠州时尚公园专卖店),香卤鸡翅尖100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-04,煌上煌酱鸭(惠州时尚公园专卖店),香辣海带结100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-04,煌上煌酱鸭(惠州时尚公园专卖店),香卤鸡翅尖100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-05,煌上煌酱鸭（龙岗区龙东乐兴专卖店）,酱鸭全家桶套餐 一人份,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-05,煌上煌酱鸭（清远英德食娱广场专卖店）,招牌卤鸭掌(不辣) 大份约210克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-05,煌上煌酱鸭(西安文艺路华润万家店),煌上煌手撕酱鸭100g 酱香,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-06,煌上煌酱鸭.鸭货(庄河万达店),煌上煌手撕酱鸭100g 酱香,5.0,此用户未填写评价内容,,,正常,未举报
