平台,日期,评价时间,门店,城市,总体评分,口味评分,包装评分,配送评分,配送满意度,评价内容,回复,点赞,点踩,申诉,关键词,商品明细
美团,2026-07-13,2026-07-13T23:42:30,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"【招牌】柠檬无骨凤爪+香辣无骨凤爪(1人份),单价41.0*数量1"
美团,2026-07-13,2026-07-13T23:05:49,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,味道挺不错的 就是微辣的不怎么辣 下次要早点点,nan,nan,nan,nan,nan,"[收蔵店铺]1元吃鸭中翅(1个),单价2.9*数量4/[收蔵店铺]1元吃鸭中翅(1个),单价2.52*数量1/[鲜嫩多汁]鸭锁骨(约250克（大份）,麻辣,切开),单价28.8*数量1"
美团,2026-07-12,2026-07-12T18:00:05,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,好吃,nan,nan,nan,nan,nan,"香酥鳕条鱼(约120g),单价9.9*数量1/柠檬无骨凤爪(约130克（小份）),单价22.8*数量1"
美团,2026-07-12,2026-07-12T09:32:20,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"[素卤菜拼盘]8.9吃5种(200克),单价8.9*数量1/酱香牛肉串(约180克（中份）),单价39.8*数量1"
美团,2026-07-21,2026-07-21T15:19:44,煌上煌酱鸭(福田区农林店),深圳,1.0,1.0,2.0,5.0,满意,照片与实物不符分量很少,亲爱的顾客，真的非常抱歉本次的服务没有让您获得最佳体验，我们会不断改善，期待您的下次惠顾！,nan,nan,nan,份量,"煌上煌手撕酱鸭炒饭1盒(微辣),单价15.6*数量1"
美团,2026-07-20,2026-07-20T22:04:40,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,非常好吃，无敌美味，强烈推荐，非常推荐，特别不错,nan,nan,nan,nan,nan,"[嘎嘎好吃]牛肉(约180克（中份）,香卤牛肉,切开),单价39.8*数量1"
美团,2026-07-20,2026-07-20T21:35:49,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,好吃，下酒一绝。,nan,nan,nan,nan,nan,"麻辣小鸭掌(小份120g),单价20.0*数量1/[香卤鸡翅尖]9.9元12个(12个),单价9.9*数量1"
美团,2026-07-20,2026-07-20T16:33:45,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,餐品包装严密完好，这家店的外卖包装干净卫生，,nan,nan,nan,nan,nan,"[天下鲜香]卤鸭掌(约180克（中份）,麻辣),单价30.0*数量1/[进店必买]手撕酱鸭(约130克（小份）,香辣),单价30.8*数量1"
美团,2026-07-18,2026-07-18T15:15,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,挺辣的，很入味，蔬菜真是喜欢，可是没拍照,nan,nan,nan,nan,nan,"[素卤菜拼盘]8.9吃5种(200克),单价8.9*数量1/[鲜嫩多汁]鸭锁骨(约250克（大份）,麻辣,切开),单价28.8*数量1"
美团,2026-07-23,2026-07-23T23:41:16,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,“菜量实在”#[进店必买]手撕酱鸭#,nan,nan,nan,nan,nan,"[进店必买]手撕酱鸭(约130克（小份）,香辣),单价30.8*数量1"
美团,2026-07-23,2026-07-23T23:01:59,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"[天下鲜香]卤鸭掌(约130克（小份）,麻辣),单价21.5*数量1/[个大肉多]鸭翅中(约130克（小份）,麻辣),单价14.8*数量1/[肉质鲜美]鸭全翅(约160克（中份）,微辣),单价21.5*数量1/[进店必买]手撕酱鸭(约130克（小份）,香辣),单价30.8*数量1"
美团,2026-07-23,2026-07-23T08:14:36,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,这么好吃的店，我就要给大大地好评，让所有人都看见，都能享受到这样的美食！,nan,nan,nan,nan,nan,"香卤毛豆(约180克（小份）),单价9.9*数量1/[肉质鲜美]鸭全翅(约160克（中份）,微辣),单价21.5*数量1/[甜蜜酸爽]糖醋排骨(约130克（小份）),单价17.8*数量1/[个大肉多]鸭翅中(约130克（小份）,甜椒),单价14.8*数量1"
美团,2026-07-22,2026-07-22T12:10:34,煌上煌酱鸭(叠山路店),南昌,,,1.0,5.0,满意,“包装不严”鳕鱼条没有盖紧盒子，油漏出来了，酱鸭生产日期是17号的太早了，备注了需要冰袋没有放。,nan,nan,香酥鳕条鱼,nan,nan,"香酥鳕条鱼(约120g),单价9.9*数量1/竹香酱鸭(不切),单价54.8*数量1"
美团,2026-07-22,2026-07-22T11:11:11,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,味道很好，价格实惠，配送速度快，商家服务态度好。,nan,竹香酱鸭,nan,nan,nan,"竹香酱鸭(不切),单价54.8*数量1"
美团,2026-07-31,2026-07-31T23:13:11,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,#[香卤鸡翅尖]9.9元12个# #三荤两素爽吃餐# #[香卤鸡翅尖]9.9元12个# #[香卤鸡翅尖]9.9元12个#,nan,nan,nan,nan,nan,"[香卤鸡翅尖]9.9元12个(12个),单价9.9*数量1/三荤两素爽吃餐(2人份),单价36.9*数量1"
美团,2026-07-29,2026-07-29T16:00:20,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"[嘎嘎好吃]牛肉(约250克（大份）,凉拌牛肉,切开),单价54.8*数量1/[香卤鸡翅尖]9.9元12个(12个),单价9.9*数量1"
美团,2026-07-27,2026-07-27T13:06:46,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"[有嚼劲啃到爽]鸭脖(约160克（中份）,微辣),单价21.5*数量1/[味美鲜香]腐竹(约180克（小份）),单价9.9*数量1/[进店必买]手撕酱鸭(约250克（大份）,香辣),单价53.8*数量1/香辣藕片(约180克（小份）),单价9.9*数量1"
美团,2026-07-27,2026-07-27T11:37:43,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"[脆爽鲜香]耳丝(约180克（中份）),单价37.9*数量1"
美团,2026-07-06,2026-07-06T21:56:39,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,#招牌酱板鸭（约半只-140g）【爆品经常点】#很好吃，很喜欢吃煌上煌的酱板鸭,感谢支持，我们会像人民币一样努力，让每个人都喜欢。,nan,nan,nan,nan,"招牌酱板鸭（约半只-140g）【爆品经常点】(1人份,香辣,切),单价36.9*数量1"
美团,2026-07-06,2026-07-06T15:14:06,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,每次下午茶,愿你每天都有一份好胃口。,nan,nan,nan,nan,"盐焗凤爪（颜色偏浅黄）(小 份（约140克）,切),单价29.8*数量1/招牌手撕酱鸭(10个吃过，7个回头）-带骨(小份（约100g）,酱辣),单价26.9*数量1"
美团,2026-07-06,2026-07-06T02:59:43,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,nan,愿你每天都有一份好胃口。,nan,nan,nan,nan,"招牌手撕酱鸭(10个吃过，7个回头）-带骨(中份(约138克),酱辣),单价38.8*数量1"
美团,2026-07-05,2026-07-05T19:55:27,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,卤味味道特别入味，腐竹、毛豆香辣爽口，鸭翅卤得软烂脱，咸辣刚刚好。分量很实在，配送速度也快，盒子干净没有撒漏，搭配西瓜吃刚刚好，下次还会回购！,你们的好评是我们继续做得更好的动力，这句是真心话，绝对不矫情的！相信我们！,nan,nan,nan,nan,"素菜双拼【特价】小份150g/大份240g(小份-约150克,腐竹（口感偏硬）,毛豆),单价8.9*数量1/荤素双拼（自选套餐）(1人份),单价24.8*数量1"
美团,2026-07-05,2026-07-05T18:23:01,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,菜品食材新鲜又卫生，实物跟商家描述一致，所见即所得，这家店的外卖包装干净卫生，,感谢您对本店的信任与支持，您的满意就是我们奋斗的目标.欢迎下次再来！ 同样的价格我们比口味/同样的口味我们比服务，合作愉快，谢谢光临并期待您的再次光临!!!,nan,nan,nan,nan,"香辣莲藕-新藕偏嫩(中份（约200克）,微辣),单价13.8*数量1/招牌手撕酱鸭(10个吃过，7个回头）-带骨(小份（约100g）,酱辣),单价26.9*数量1"
美团,2026-07-05,2026-07-05T00:28:08,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,味道很好吃，份量很足，不错。#新品-现切香卤牛肉（现切加辣油）#,被你喜欢过，很温暖···感谢您的支持与厚爱，愿您祝你生活愉快,nan,nan,nan,nan,"新品-现切香卤牛肉（现切加辣油）(中份约180g),单价53.9*数量1"
美团,2026-07-04,2026-07-04T16:28:57,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,还不错  下次还来,谢谢好评，期待下一次为你服务。,nan,nan,nan,nan,"素菜双拼【特价】小份150g/大份240g(小份-约150克,面筋,豆脯干（有蒜）),单价10.9*数量1/四荤三素豪华餐(3人份),单价42.9*数量1/四荤三素豪华餐(3人份),单价42.9*数量1/素菜双拼【特价】小份150g/大份240g(小份-约150克,酸辣脆藕,腐竹（口感偏硬）),单价8.9*数量1"
美团,2026-07-04,2026-07-04T12:17,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,nan,谢谢您的夸奖，我们会继续努力，为您提供更美味的外卖美食。,nan,nan,nan,nan,"香辣腐竹（口感偏硬）(特小份尝鲜100克),单价6.9*数量1/香卤龙虾尾（麻辣鲜香）(特小份（100g）),单价36.9*数量1"
美团,2026-07-03,2026-07-03T19:31:02,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,有段时间没吃了，简直是解馋必备。,感谢您选择我们，我们会不断的提升产品与服务的质量!欢迎再次光临。祝您生活愉快每天都有好心情!,nan,nan,nan,nan,"香辣卤毛豆(特小份尝鲜100克,微辣),单价7.9*数量1/麻辣卤鸭肠(微麻)(特小份尝鲜60g拼盒),单价14.9*数量1/素菜双拼【特价】小份150g/大份240g(小份-约150克,莲藕,面筋),单价8.9*数量1"
美团,2026-07-03,2026-07-03T17:13:30,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,喜欢吃煌上煌时不时点上一次 解一下馋?包装很好#特价双拼{鸭心8个*鸭肾一个}口味香辣# #素菜三拼套餐【特价】-（合计约210g）#,感恩，感谢，感动。,nan,nan,nan,nan,"特价双拼{鸭心8个*鸭肾一个}口味香辣(1人份),单价16.9*数量1/素菜三拼套餐【特价】-（合计约210g）(1人份),单价14.9*数量1"
美团,2026-07-03,2026-07-03T11:37:27,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,nan,再来光临记得继续给我们打5个星星，我给你唱星语心愿呀,nan,nan,nan,nan,"素菜三拼套餐【特价】-（合计约210g）(1人份),单价14.9*数量1/香卤鸡尖（微辣）(特小份尝鲜100g),单价12.8*数量1/香卤香菇(特小份尝鲜-75g),单价6.9*数量1"
美团,2026-07-03,2026-07-03T11:37:01,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,送得很快，就是不知道会不会饭冷了,再来光临记得继续给我们打5个星星，我给你唱星语心愿呀,"招牌手撕酱鸭(10个吃过，7个回头）-带骨,手撕酱鸭炒饭（300g/盒）",nan,nan,nan,"手撕酱鸭炒饭（300g/盒）(1人份),单价22.9*数量1/招牌手撕酱鸭(10个吃过，7个回头）-带骨(小份（约100g）,不辣),单价27.8*数量1"
美团,2026-07-02,2026-07-02T21:59:17,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,藕片不错，酱鸭吃着苦的，很奇怪的味道,感谢亲的用心评价，东西有变动下次点餐记得备注一下我们会做得让您一定满意，一定要再给我们一次机会！,酸辣脆藕片,招牌手撕酱鸭(10个吃过，7个回头）-带骨,nan,nan,"酸辣脆藕片(中份（约200克）,微辣),单价13.8*数量1/半斤大米饭-250g（单点不送）(250克),单价4.99*数量1/招牌手撕酱鸭(10个吃过，7个回头）-带骨(中份(约138克),酱辣),单价38.8*数量1"
美团,2026-07-02,2026-07-02T16:03:17,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,nan,即使是一个人吃饭，也要有满满的仪式感。感谢您的选择。,nan,nan,nan,nan,"盐焗凤爪（颜色偏浅黄）(特小份2个尝鲜,不切),单价12.8*数量1/招牌卤凤爪（不辣）(特小份尝鲜2个-拼盒,切),单价12.8*数量1/香卤鸭脖（不辣）(特小份尝鲜约100g),单价12.9*数量1/招牌卤鸭爪（不辣）(特小份尝鲜2个-拼盒),单价13.9*数量1"
美团,2026-07-02,2026-07-02T16:03:08,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,nan,记得要经常来哦，我们会想你的，我们还会努力研发更好吃的新品，常来常新^_^,nan,nan,nan,nan,"招牌手撕酱鸭(10个吃过，7个回头）-带骨(小份（约100g）,不辣),单价26.9*数量1"
美团,2026-07-02,2026-07-02T10:31:12,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,#招牌酱板鸭（约半只-140g）【爆品经常点】# 煌上煌的酱板鸭真的百吃不腻，不愧是老牌卤味！鸭肉紧实不柴，秘制酱汁渗透每一丝肉，酱香混合微辣，越嚼越香，连骨头都卤得入味，追剧啃着特别过瘾。搭配的卤素菜同样惊艳，藕片脆爽、腐竹吸满卤汁，口感清爽刚好中和鸭肉的厚重，解腻又开胃。包装密封完好，分量实在，荤素搭配性价比很高，不管是下饭还是解馋都合适！推荐！,你的鼓励，让我们离百年老店又近了一步。,招牌酱板鸭（约半只-140g）【爆品经常点】,nan,nan,nan,"素菜双拼【特价】小份150g/大份240g(小份-约150克,豆脯干（有蒜）,酸辣脆藕),单价10.9*数量1/招牌酱板鸭（约半只-140g）【爆品经常点】(1人份,不辣,切),单价36.9*数量1"
美团,2026-07-02,2026-07-02T10:22:40,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,手撕鸭 还是煌上煌的好吃 之前经常买一整只酱板鸭小零食的吃 手撕鸭多了芝麻等 很像 好吃? 看剧小零食 ,感谢喜爱，期待您的再次光临，我们会给你更好的体验。,nan,nan,nan,nan,"招牌手撕酱鸭(10个吃过，7个回头）-带骨(大份（约168g）,酱辣),单价48.8*数量1"
美团,2026-07-01,2026-07-01T23:04:11,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,4.0,5.0,满意,nan,感谢您对我们的支持，在亲的鼓励与支持下我们会做得更加努力！欢迎亲的下次光临。,nan,nan,nan,nan,"招牌手撕酱鸭(10个吃过，7个回头）-带骨(大份（约168g）,酱辣),单价48.8*数量1/素菜双拼【特价】小份150g/大份240g(小份-约150克,腐竹（口感偏硬）,毛豆),单价8.9*数量1"
美团,2026-07-01,2026-07-01T20:43:02,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,#手撕酱鸭炒饭（300g/盒）# #招牌酱香鸭边腿（散切称重）-香辣#炒饭?份量是足的，味道还是不错的不过少点锅气。酱香鸭子味道比较独特，吃不惯这个味吧，海带莲藕爽口,好评收下，好运奉上！,nan,nan,nan,nan,"素菜双拼【特价】小份150g/大份240g(小份-约150克,海带,莲藕),单价10.9*数量1/招牌酱香鸭边腿（散切称重）-香辣(小份散切称重140g,切小块),单价18.9*数量1/手撕酱鸭炒饭（300g/盒）(1人份),单价18.9*数量1"
美团,2026-07-01,2026-07-01T19:40:32,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,nan,世界上有一种深情叫做你点我的菜，我们一直在您身后给您最好最贴心的服务做您的小太阳，感谢您的支持与惠顾！,nan,nan,nan,nan,"2荤2素任意挑（自选套餐）(2人份),单价55.9*数量1"
美团,2026-07-01,2026-07-01T00:27:42,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,还不错 味道很足好吃 密封性也比较好 时间上也很快 可以冲,春夏或秋冬，愿为您一人下厨房，只求把世间鲜美的食物送到您的眼前让您满意！,nan,nan,nan,nan,"无骨蒜香鸭掌（酸辣）(特小份尝鲜2个-拼盒),单价13.9*数量1/香卤鸭肠（微辣）(特小份尝鲜60g拼盒),单价14.9*数量1"
美团,2026-07-11,2026-07-11T22:13:51,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,好吃好吃，吃过很多次了，再次加入回购清单，餐品包装严密完好，实物跟商家描述一致，所见即所得，,感谢认可！收藏店铺成为铁粉，下次点单不迷路哦。,nan,nan,nan,nan,"招牌手撕酱鸭(10个吃过，7个回头）-带骨(小份（约100g）,酱辣),单价27.8*数量1/香辣海带结(特小份尝鲜100克,微辣),单价6.9*数量1"
美团,2026-07-10,2026-07-10T01:29:56,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,"今天为什么这么辣，点了多次了，就今天不同，！是尺度不一样吗？能给个解释吗，下次还能吃到想吃的味道吗
",真的非常感谢您的肯定，态度决定成败，我们会继续用心做好每一步！欢迎再来！,nan,nan,nan,nan,"招牌酱板鸭（约一只-280g）【爆品经常点】(280克,香辣,切),单价73.9*数量1/香辣卤毛豆(中份（约200克）,微辣),单价13.8*数量1"
美团,2026-07-09,2026-07-09T22:11:15,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,nan,感谢您的称赞，我们会继续努力，为您提供更优质的服务和美食。,nan,nan,nan,nan,"素菜三拼套餐【特价】-（合计约210g）(1人份),单价14.9*数量1/香卤鸭翅中（微辣）(特小份尝鲜2个拼盒),单价7.9*数量1/半斤大米饭-250g（单点不送）(250克),单价5.99*数量1"
美团,2026-07-08,2026-07-08T15:52:43,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,好吃,你的一句“好吃”，胜过千言万语。,nan,nan,nan,nan,"香辣腐竹（口感偏硬）(中份（约200克）),单价13.8*数量1/香辣鱼豆腐(大份（约280克）,微辣),单价19.8*数量1/香卤豆脯干（微辣含蒜）(中份200g),单价13.8*数量1/香辣卤毛豆(中份（约200克）,微辣),单价13.8*数量1/香辣海带结(中份（约200克）,微辣),单价13.8*数量1/香辣莲藕-新藕偏嫩(中份（约200克）,微辣),单价13.8*数量1/香卤面筋片(中份（约200克）),单价13.8*数量1/卤鸭肫（微辣）(特小份尝鲜(2个),切薄片),单价13.99*数量1"
美团,2026-07-08,2026-07-08T11:25:48,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,#招牌酱板鸭（约半只-140g）【爆品经常点】#酱板鸭还是挺不错的，不过现在的感觉没有以前那么干，还是干一点的好吃,我们店铺不仅管饱，还管吃完了心情好，祝你笑口常开，喜乐安康,nan,nan,nan,nan,"招牌酱板鸭（约半只-140g）【爆品经常点】(1人份,香辣,切),单价36.9*数量1"
美团,2026-07-08,2026-07-08T11:24:37,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,好吃,宇宙超级无敌会卖萌的小客服我，对你的好评表示一万分的感谢嘿，记得再来～,nan,nan,nan,nan,"荤菜双拼【特价】-十选二拼盒(1人份),单价27.8*数量1/特价双拼{鸭心8个*鸭肾一个}口味香辣(1人份),单价16.9*数量1"
美团,2026-07-08,2026-07-08T08:36:49,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,包装很好，没有破损，东西很美味，吃的很撑，有家乡的味道，谢谢老板，下次继续购买！,为了您的好评，我愿化身厨娘/厨郎，天天给您做饭！,nan,nan,nan,nan,"香卤鸭锁骨（麻辣带点甜哦）(小份（约2个）,切),单价19.9*数量1/特价尝鲜豆腐干低至0.01/片(1片),单价0.88*数量14/特价尝鲜豆腐干低至0.01/片(1片),单价0.01*数量1"
美团,2026-07-08,2026-07-08T01:51:19,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,餐品分量非常扎实，餐品包装严密完好，,美食让你饱腹，好评让我开心~,nan,nan,nan,nan,"香卤鸭翅中（麻辣带点甜哦）(特小份尝鲜2个-拼盒),单价8.9*数量1/香卤鸭锁骨（麻辣带点甜哦）(特小份尝鲜1个-拼盒,切),单价9.9*数量1/素菜双拼【特价】小份150g/大份240g(小份-约150克,海带,莲藕),单价8.9*数量1/招牌手撕酱鸭(10个吃过，7个回头）-带骨(小份（约100g）,酱辣),单价27.8*数量1"
美团,2026-07-08,2026-07-08T01:29:29,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,nan,感恩，感谢，感动。,nan,nan,nan,nan,"?招牌-香卤鸭脖?/个{口味三选一}(1个,不辣),单价0.01*数量1/?招牌-香卤鸭脖?/个{口味三选一}(1个,不辣),单价2.19*数量21"
美团,2026-07-07,2026-07-07T19:59,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,还不错的酱鸭，味道很香，价格也实惠，下次还会再点,生活需要一点甜，比如你的好评，比如我们的菜。,nan,nan,nan,nan,"招牌酱板鸭（约半只-140g）【爆品经常点】(1人份,香辣,切),单价36.9*数量1"
美团,2026-07-07,2026-07-07T18:52:33,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,餐品分量非常扎实，这家店的外卖包装干净卫生，餐品物有所值，很划算，加入回购清单，,好评，是世界上最动听的语言。,nan,nan,nan,nan,"招牌酱板鸭（约半只-140g）【爆品经常点】(1人份,香辣,切),单价36.9*数量1/香辣卤毛豆(中份（约200克）,微辣),单价13.8*数量1"
美团,2026-07-07,2026-07-07T15:53:59,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,4.0,5.0,满意,好吃的好吃的，江西卤味最好吃了,你的好评，让我们的店铺闪闪发光。,nan,nan,nan,nan,"香卤鸭翅中（微辣）(中份(约210克)),单价28.9*数量1/素菜三拼套餐【特价】-（合计约210g）(1人份),单价14.5*数量1"
美团,2026-07-07,2026-07-07T10:56:13,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,蛮好处的哦,风雨无阻，为你送餐；好评，如沐春风。,nan,nan,nan,nan,"香卤鸭脖（麻辣带点甜哦）(特小份尝鲜约100g),单价12.9*数量1/素菜三拼套餐【特价】-（合计约210g）(1人份),单价14.9*数量1/香卤鸭锁骨（麻辣带点甜哦）(小份（约2个）,切),单价19.9*数量1"
美团,2026-07-16,2026-07-16T23:29:39,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,#招牌酱板鸭（约半只-140g）【爆品经常点】#味道不错,确认过眼神，遇上识货人，谢谢亲的好评，小店有了您的鼓励一定会更加努力为您提供更好的服务，欢迎再来。,nan,nan,nan,nan,"香卤面筋片(小份-130g),单价8.8*数量1/招牌酱板鸭（约半只-140g）【爆品经常点】(1人份,香辣,切),单价36.9*数量1"
美团,2026-07-16,2026-07-16T13:59:18,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,5.0,满意,分量很足味道也不错,在虚拟的网络世界里，因为一份外卖我们有了交集。能得到您的好评，是一种缘分。感恩这份萍水相逢的善意，我们会带着这份祝福继续前行。,nan,nan,nan,nan,"素菜双拼【特价】小份150g/大份240g(小份-约150克,毛豆,酸辣脆藕),单价8.9*数量1/招牌手撕酱鸭(10个吃过，7个回头）-带骨(小份（约100g）,酱辣),单价27.8*数量1"
美团,2026-07-14,2026-07-14T23:48:51,煌上煌酱鸭(五和店·卤味·小吃·下午茶),深圳,,,5.0,1.0,不满意,"实物跟商家描述一致，所见即所得, 菜品食材新鲜又卫生, 餐品分量非常扎实, 
",满意就好，常来。,nan,nan,nan,nan,nan
